Wall time,Step,Value
1712488622.191103,2500,-1222.050048828125
1712488624.718069,4000,-1222.050048828125
1712488625.6286368,4500,-1212.0999755859375
1712488630.536716,7500,-1243.0
1712488631.328505,8000,-1243.0
1712488633.850532,9500,-1114.550048828125
1712488634.636682,10000,-1114.550048828125
1712488638.280871,11500,-1182.0899658203125
1712488639.22449,12000,-1182.0899658203125
1712488640.434606,12500,-1057.0250244140625
1712488643.354248,13500,-1057.0250244140625
1712488644.7985961,14000,-1057.0250244140625
1712488647.8743129,15500,-1112.2928466796875
1712488648.6711948,16000,-1112.2928466796875
1712488655.202844,19000,-1056.300048828125
1712488658.396041,20500,-1071.780029296875
1712488659.387233,21000,-1071.780029296875
1712488660.372635,21500,-1071.780029296875
1712488661.382038,22000,-1071.780029296875
1712488662.6684742,22500,-1118.20458984375
1712488670.40658,26000,-1080.995849609375
1712488671.6713521,26500,-1105.5230712890625
1712488672.58179,27000,-1105.5230712890625
1712488674.597923,28000,-1105.5230712890625
1712488675.719056,28500,-1077.478515625
1712488677.74268,29500,-1077.478515625
1712488680.95632,31000,-1053.2567138671875
1712488684.016257,32500,-1037.5
1712488684.90542,33000,-1037.5
1712488685.8299148,33500,-1037.5
1712488686.7305422,34000,-1037.5
1712488689.090441,35000,-1026.0823974609375
1712488690.057075,35500,-1026.0823974609375
1712488691.090143,36000,-1026.0823974609375
1712488692.401818,36500,-1024.09716796875
1712488694.266763,37500,-1024.09716796875
1712488695.189882,38000,-1024.09716796875
1712488701.618082,41000,-1039.737548828125
1712488703.586164,42000,-1039.737548828125
1712488704.78454,42500,-1033.00244140625
1712488706.6461508,43500,-1033.00244140625
1712488707.607691,44000,-1033.00244140625
1712488709.765457,45000,-1020.4818115234375
1712488713.808458,47000,-1025.76953125
1712488714.760459,47500,-1025.76953125
1712488719.538819,50000,-1027.433349609375
1712488723.404944,52000,-988.3259887695312
1712488724.539666,52500,-1005.65576171875
1712488727.273822,54000,-1005.65576171875
1712488730.241027,55500,-1007.9055786132812
1712488731.164746,56000,-1007.9055786132812
1712488733.181045,57000,-1009.6785888671875
1712488737.938551,59500,-1012.6310424804688
1712488739.750099,60500,-1012.6310424804688
1712488744.6878479,63000,-1056.3226318359375
1712488748.4673028,65000,-1071.6578369140625
1712488749.40573,65500,-1071.6578369140625
1712488751.196474,66500,-1071.6578369140625
1712488753.25333,67500,-1077.3787841796875
1712488754.137325,68000,-1077.3787841796875
1712488754.997173,68500,-1077.3787841796875
1712488759.2450318,70500,-1078.73681640625
1712488760.286134,71000,-1083.7928466796875
1712488765.8783329,74000,-1086.175048828125
1712488766.860868,74500,-1086.175048828125
1712488768.861321,75500,-1077.427001953125
1712488769.743476,76000,-1077.427001953125
1712488772.805143,77500,-1080.3565673828125
1712488779.224393,81000,-1081.2025146484375
1712488781.237272,82000,-1105.01123046875
1712488782.111553,82500,-1105.01123046875
1712488784.1942341,83500,-1112.532958984375
1712488786.053012,84500,-1112.532958984375
1712488788.17521,85500,-1117.191650390625
1712488791.904743,87500,-1118.3941650390625
1712488792.79883,88000,-1118.3941650390625
1712488793.687022,88500,-1118.3941650390625
1712488796.542371,90000,-1120.4158935546875
1712488797.518927,90500,-1120.4158935546875
1712488798.39772,91000,-1120.4158935546875
1712488799.494082,91500,-1124.767822265625
