Wall time,Step,Value
1712496415.124824,13926,-1543.0875244140625
1712496418.611021,27838,-1539.737548828125
1712496422.283786,41751,-1562.2208251953125
1712496430.824283,54640,-1517.8031005859375
1712496445.6681888,64813,-1382.032470703125
1712496458.936544,74611,-1286.3582763671875
1712496472.895391,84513,-1275.6839599609375
1712496484.993906,93626,-1255.8515625
1712496499.5571918,102632,-1275.112548828125
1712496511.443636,111078,-1246.875
1712496527.899542,119898,-1244.6795654296875
1712496540.053396,128576,-1240.5625
1712496555.1734662,137315,-1240.0047607421875
1712496566.881247,146019,-1207.206298828125
1712496589.686465,155697,-1188.0208740234375
1712496607.1064162,165256,-1150.8812255859375
1712496621.491494,174427,-1115.0272216796875
1712496637.899981,183922,-1085.1270751953125
1712496655.738564,193666,-1059.9013671875
1712496672.538093,203634,-1035.8431396484375
1712496686.468512,213093,-1009.7750244140625
1712496700.017658,222585,-991.0300903320312
1712497362.512522,232517,-975.1304321289062
1712497377.226605,242353,-963.7359619140625
1712497393.862389,252641,-961.6409912109375
1712497407.447665,262530,-924.978515625
1712497419.394779,271478,-879.030029296875
1712497432.81147,280979,-836.6019897460938
1712497445.771691,290445,-800.9454956054688
1712497459.300437,299981,-793.2520141601562
1712497471.2971451,309348,-784.3724975585938
1712497482.9577339,319085,-769.780517578125
1712497493.220203,328351,-751.9525146484375
1712497503.335895,337342,-714.1094970703125
1712497513.391702,346450,-697.0
1712497523.65312,355710,-670.0770263671875
1712497534.046866,365263,-644.4970092773438
1712497544.158737,374369,-613.5764770507812
1712497556.673595,383860,-606.5665283203125
1712497569.775061,393198,-593.0584716796875
1712497582.282378,402709,-588.4829711914062
1712497595.7325702,412685,-589.5045166015625
1712497609.486442,423080,-593.9525146484375
1712497622.683418,433514,-598.1630249023438
1712497636.5413241,443147,-595.4760131835938
1712497648.472887,452903,-595.6265258789062
1712497663.819493,463190,-597.9974975585938
1712497678.0646908,473562,-602.4555053710938
1712497691.307214,483406,-596.41650390625
1712497704.387243,493202,-583.91552734375
1712497716.885874,502513,-583.8839721679688
1712497730.08108,512387,-596.3319702148438
1712497742.599863,521635,-602.968994140625
1712497754.833869,531021,-622.1160278320312
1712497766.849544,540083,-615.1589965820312
1712497779.447281,549540,-617.2554931640625
1712497791.355179,558469,-598.6820068359375
1712497803.136611,567255,-591.7780151367188
1712497816.958391,577094,-606.7249755859375
1712497834.3045719,586704,-617.97998046875
1712497857.283398,596106,-619.259521484375
1712497875.160749,606366,-642.2205200195312
1712497887.270119,615147,-638.9080200195312
1712497900.972451,624765,-645.135986328125
1712497915.935748,635115,-655.4199829101562
1712497928.5412428,644234,-654.6334838867188
1712497943.451939,654718,-667.1300048828125
1712497957.334997,664563,-670.3380126953125
1712497970.506036,673881,-658.6174926757812
1712497984.422229,683483,-671.3809814453125
1712497997.7817621,692941,-679.0545043945312
1712498010.722429,701993,-668.823486328125
1712498024.3531141,711710,-661.2534790039062
1712498038.824678,721143,-670.5994873046875
1712498056.131861,730418,-668.5784912109375
1712498069.54278,739965,-678.083984375
1712498082.6849852,750002,-674.905517578125
1712498096.767649,760135,-669.6915283203125
1712498109.260247,770266,-659.6799926757812
1712498122.0513542,779767,-659.9719848632812
1712498133.75492,789056,-650.280029296875
1712498146.4806468,798840,-658.5670166015625
1712498158.903008,808017,-658.4550170898438
1712498172.741257,818457,-654.219970703125
1712498185.778807,828350,-651.6494750976562
1712498197.846294,837980,-651.97900390625
1712498209.699166,847806,-635.1220092773438
1712498222.8168268,857909,-650.8065185546875
1712498234.6002681,867569,-647.4199829101562
1712498246.2528079,876913,-636.81298828125
1712498258.7178502,886446,-644.8455200195312
1712498272.8427489,896249,-642.9539794921875
1712498285.066773,905989,-641.0814819335938
1712498306.066082,915546,-653.8615112304688
1712498317.970773,925198,-651.4425048828125
1712498329.366698,934639,-659.1900024414062
1712498337.642984,943729,-666.469482421875
1712498342.140822,952323,-665.1420288085938
1712498347.180618,961629,-659.8289794921875
1712498353.282489,972212,-687.3905029296875
1712498358.88156,982045,-690.6530151367188
1712498363.854969,991068,-689.4660034179688
1712498368.634743,999657,-694.9849853515625
