Wall time,Step,Value
1712490928.836906,4096,-1269.300048828125
1712490930.330902,6144,-1033.449951171875
1712490931.738195,8192,-1033.449951171875
1712490933.223279,10240,-946.183349609375
1712490934.702771,12288,-871.0
1712490936.187902,14336,-866.6099853515625
1712490937.7655869,16384,-895.1500244140625
1712490939.2723992,18432,-850.5071411132812
1712490940.750009,20480,-900.3624877929688
1712490942.140816,22528,-900.3624877929688
1712490943.6289952,24576,-861.75
1712490945.104254,26624,-857.3150024414062
1712490946.579226,28672,-809.522705078125
1712490948.049512,30720,-782.4249877929688
1712490949.519624,32768,-759.203857421875
1712490951.033334,34816,-741.8285522460938
1712490952.474613,36864,-741.8285522460938
1712490954.3260958,38912,-774.6099853515625
1712490955.8001459,40960,-759.0343627929688
1712490957.3140469,43008,-748.7617797851562
1712490958.9052422,45056,-733.897216796875
1712490960.340653,47104,-733.897216796875
1712490961.8321412,49152,-738.7105102539062
1712490963.311088,51200,-743.1300048828125
1712490964.788456,53248,-733.2047729492188
1712490966.2654872,55296,-734.1863403320312
1712490967.750318,57344,-718.8065185546875
1712490969.19071,59392,-718.8065185546875
1712490970.6728802,61440,-731.222900390625
1712490972.149121,63488,-730.6179809570312
1712490973.6260679,65536,-709.5730590820312
1712490975.0973299,67584,-691.4203491210938
1712490976.5687099,69632,-681.8571166992188
1712490978.124958,71680,-667.4569091796875
1712490979.551868,73728,-667.4569091796875
1712490981.1262221,75776,-676.4166870117188
1712490982.6039329,77824,-666.332275390625
1712490984.093462,79872,-657.4937744140625
1712490985.626307,81920,-663.8651733398438
1712490987.1012201,83968,-655.2073364257812
1712490988.5800152,86016,-641.8014526367188
1712490990.0476182,88064,-632.1180419921875
1712490991.431424,90112,-632.1180419921875
1712490992.921888,92160,-626.0540771484375
1712490994.431898,94208,-633.1500244140625
1712490995.944866,96256,-629.5756225585938
1712490997.407198,98304,-627.4924926757812
1712490998.883501,100352,-619.7548828125
1712491000.282933,102400,-619.7548828125
1712491001.79619,104448,-616.248779296875
1712491003.259377,106496,-608.5034790039062
1712491004.732197,108544,-603.7261352539062
1712491006.226367,110592,-604.8622436523438
1712491007.699838,112640,-604.5
1712491009.172844,114688,-595.4574584960938
1712491010.6729972,116736,-589.2125244140625
1712491012.135465,118784,-586.1826782226562
1712491013.554531,120832,-586.1826782226562
1712491015.0345678,122880,-590.6710205078125
1712491016.499616,124928,-585.8372802734375
1712491017.979203,126976,-585.2125244140625
1712491019.461501,129024,-584.771728515625
1712491021.00367,131072,-582.3046264648438
1712491022.467329,133120,-578.2490844726562
1712491023.870812,135168,-578.2490844726562
1712491025.347986,137216,-574.8187255859375
1712491026.82607,139264,-573.5964965820312
1712491028.301284,141312,-568.7180786132812
1712491029.801089,143360,-577.341552734375
1712491031.218556,145408,-577.341552734375
1712491032.71888,147456,-577.9258422851562
1712491034.225684,149504,-577.7631225585938
1712491035.711932,151552,-581.2402954101562
1712491037.229276,153600,-578.1722412109375
1712491038.7846642,155648,-573.2640380859375
1712491040.192808,157696,-573.2640380859375
1712491041.811141,159744,-571.81689453125
1712491043.406695,161792,-569.5113525390625
1712491044.877939,163840,-571.6806030273438
1712491046.4067662,165888,-575.0455932617188
1712491047.822342,167936,-575.0455932617188
1712491049.3140328,169984,-577.2586669921875
1712491050.799926,172032,-572.942138671875
1712491052.316703,174080,-573.3950805664062
1712491053.802444,176128,-572.053466796875
1712491055.2620249,178176,-572.43701171875
1712491056.6558862,180224,-572.43701171875
1712491058.158449,182272,-573.0905151367188
1712491059.6570911,184320,-573.2513427734375
1712491061.13798,186368,-574.6526489257812
1712491062.619871,188416,-568.9058227539062
1712491064.142578,190464,-569.0083618164062
1712491065.638093,192512,-568.1031494140625
1712491067.030139,194560,-568.1031494140625
1712491068.5156631,196608,-567.4181518554688
1712491070.048321,198656,-562.1431884765625
1712491071.5478559,200704,-563.626220703125
1712491073.025343,202752,-563.248779296875
1712491074.5032089,204800,-558.8994140625
1712491075.9767108,206848,-558.5176391601562
1712491077.452725,208896,-554.565673828125
1712491078.859547,210944,-554.565673828125
1712491080.370943,212992,-552.4310302734375
1712491081.84762,215040,-554.0721435546875
1712491083.330179,217088,-554.3809204101562
1712491084.883646,219136,-553.2633056640625
1712491086.36596,221184,-551.721435546875
1712491087.839427,223232,-550.5293579101562
1712491089.244513,225280,-550.5293579101562
1712491090.741481,227328,-551.2876586914062
1712491092.216199,229376,-551.3734130859375
1712491093.7174132,231424,-553.739990234375
1712491095.119405,233472,-553.739990234375
1712491096.6067488,235520,-554.5676879882812
1712491098.2350771,237568,-559.486083984375
1712491099.722542,239616,-563.720947265625
1712491101.1215281,241664,-563.720947265625
1712491102.593847,243712,-565.3146362304688
1712491104.105951,245760,-565.3685302734375
1712491105.586828,247808,-559.177978515625
1712491107.15816,249856,-557.375
1712491108.570399,251904,-557.375
1712491110.066226,253952,-552.572509765625
1712491111.5644648,256000,-553.030029296875
1712491113.049247,258048,-552.8084716796875
1712491114.444934,260096,-552.8084716796875
1712491115.93857,262144,-554.0180053710938
1712491117.425987,264192,-549.6829833984375
1712491118.93997,266240,-549.2100219726562
1712491120.4379551,268288,-546.2540283203125
1712491121.921985,270336,-540.3930053710938
1712491123.319179,272384,-540.3930053710938
1712491124.814681,274432,-540.9879760742188
1712491126.291472,276480,-539.8720092773438
1712491127.774556,278528,-536.6644897460938
1712491129.290396,280576,-537.9315185546875
1712491130.781137,282624,-530.4114990234375
1712491132.248306,284672,-531.3905029296875
1712491133.646227,286720,-531.3905029296875
1712491135.1231208,288768,-530.1950073242188
1712491136.591576,290816,-527.5369873046875
1712491138.092708,292864,-520.2844848632812
1712491139.579315,294912,-519.5974731445312
1712491141.063165,296960,-516.760498046875
1712491142.534307,299008,-512.37451171875
1712491144.022662,301056,-511.1300048828125
1712491145.509239,303104,-505.77349853515625
1712491146.9361439,305152,-505.77349853515625
1712491148.4139688,307200,-505.0920104980469
1712491149.92986,309248,-510.50048828125
1712491151.416918,311296,-512.2310180664062
1712491152.811174,313344,-512.2310180664062
1712491154.297413,315392,-518.761474609375
1712491155.775776,317440,-519.3369750976562
1712491157.451871,319488,-521.8079833984375
1712491158.925994,321536,-519.259521484375
1712491160.405578,323584,-518.5625
1712491161.877196,325632,-512.9749755859375
1712491163.2833889,327680,-512.9749755859375
1712491164.779555,329728,-515.614990234375
1712491166.2541492,331776,-517.4290161132812
1712491167.757588,333824,-518.6434936523438
1712491169.220747,335872,-517.5654907226562
1712491170.860459,337920,-515.302978515625
1712491172.354636,339968,-511.718994140625
1712491173.7632608,342016,-511.718994140625
1712491175.253175,344064,-511.4200134277344
1712491176.7388532,346112,-514.2269897460938
1712491178.221813,348160,-516.7839965820312
1712491179.7236779,350208,-521.8685302734375
1712491181.141334,352256,-521.8685302734375
1712491182.610304,354304,-524.3045043945312
1712491184.095428,356352,-520.7150268554688
1712491185.56846,358400,-522.7369995117188
1712491187.033283,360448,-521.666015625
1712491188.531509,362496,-526.10302734375
1712491189.9905658,364544,-523.9664916992188
1712491191.400723,366592,-523.9664916992188
1712491192.9276469,368640,-520.52197265625
1712491194.4304,370688,-527.16748046875
1712491195.900218,372736,-525.7269897460938
1712491197.3694,374784,-523.20849609375
1712491198.8632078,376832,-519.8759765625
1712491200.260032,378880,-519.8759765625
1712491201.7502038,380928,-521.5540161132812
1712491203.209708,382976,-519.8389892578125
1712491204.6806688,385024,-515.7985229492188
1712491206.169466,387072,-518.0139770507812
1712491207.654273,389120,-517.552978515625
1712491209.1243432,391168,-514.2869873046875
1712491210.588425,393216,-512.8079833984375
1712491211.972085,395264,-512.8079833984375
1712491213.429287,397312,-507.60150146484375
1712491214.9444952,399360,-505.7560119628906
1712491216.43898,401408,-505.92401123046875
1712491218.047507,403456,-505.65899658203125
1712491219.527756,405504,-508.12249755859375
1712491221.0047529,407552,-501.8494873046875
1712491222.4776142,409600,-501.301513671875
1712491223.956527,411648,-495.0480041503906
1712491225.3670669,413696,-495.0480041503906
1712491226.849298,415744,-500.23199462890625
1712491228.3764968,417792,-501.3915100097656
1712491229.860231,419840,-502.0799865722656
1712491231.308619,421888,-502.0799865722656
1712491232.826383,423936,-506.65350341796875
1712491234.419793,425984,-504.16351318359375
1712491235.9080908,428032,-507.4674987792969
1712491237.3926752,430080,-512.3510131835938
1712491238.807442,432128,-512.3510131835938
1712491240.3165262,434176,-524.2675170898438
1712491241.806512,436224,-523.9384765625
1712491243.278309,438272,-526.5150146484375
1712491244.684653,440320,-526.5150146484375
1712491246.181473,442368,-525.6640014648438
1712491247.6733382,444416,-527.406494140625
1712491249.150748,446464,-521.7534790039062
1712491250.629306,448512,-520.8920288085938
1712491252.119714,450560,-523.1934814453125
1712491253.653777,452608,-523.8715209960938
